2-THETA,INTENSITY
2,6072
2.05,11822
2.1,10602
2.15,8811
2.2,11744
2.25,7388
2.3,10563
2.35,9956
2.4,8611
2.45,9760
2.5,8775
2.55,9760
2.6,7532
2.65,7339
2.7,8413
2.75,7445
2.8,7594
2.85,7523
2.9,6432
2.95,6891
3,6152
3.05,6923
3.1,6466
3.15,5509
3.2,6588
3.25,5128
3.3,5274
3.35,4832
3.4,4980
3.45,4722
3.5,4117
3.55,4527
3.6,4020
3.65,4044
3.7,4036
3.75,3521
3.8,3769
3.85,3480
3.9,3286
3.95,3646
4,3146
4.05,3303
4.1,3082
4.15,2953
4.2,3152
4.25,2661
4.3,2692
4.35,2597
4.4,2572
4.45,2701
4.5,2394
4.55,2393
4.6,2350
4.65,2228
4.7,2395
4.75,2118
4.8,2034
4.85,2030
4.9,1985
4.95,1988
5,2045
5.05,1927
5.1,1895
5.15,1890
5.2,1875
5.25,1729
5.3,1743
5.35,1651
5.4,1616
5.45,1653
5.5,1625
5.55,1620
5.6,1531
5.65,1495
5.7,1480
5.75,1390
5.8,1479
5.85,1372
5.9,1415
5.95,1319
6,1274
6.05,1358
6.1,1301
6.15,1279
6.2,1318
6.25,1247
6.3,1127
6.35,1212
6.4,1120
6.45,1162
6.5,1183
6.55,1138
6.6,1115
6.65,1160
6.7,1058
6.75,1066
6.8,1118
6.85,1092
6.9,1041
6.95,978
7,983
7.05,1024
7.1,1002
7.15,955
7.2,997
7.25,1030
7.3,1011
7.35,933
7.4,948
7.45,961
7.5,968
7.55,948
7.6,980
7.65,996
7.7,949
7.75,936
7.8,916
7.85,908
7.9,944
7.95,929
8,915
8.05,885
8.1,860
8.15,908
8.2,891
8.25,910
8.3,908
8.35,852
8.4,936
8.45,903
8.5,897
8.55,819
8.6,876
8.65,895
8.7,898
8.75,878
8.8,893
8.85,862
8.9,913
8.95,912
9,902
9.05,854
9.1,872
9.15,914
9.2,873
9.25,881
9.3,873
9.35,864
9.4,912
9.45,904
9.5,896
9.55,876
9.6,898
9.65,937
9.7,1032
9.75,999
9.8,994
9.85,1020
9.9,921
9.95,1033
10,1010
10.05,986
10.1,1058
10.15,1010
10.2,1043
10.25,1091
10.3,990
10.35,1057
10.4,1019
10.45,989
10.5,1002
10.55,1011
10.6,1020
10.65,954
10.7,903
10.75,841
10.8,839
10.85,797
10.9,779
10.95,745
11,730
11.05,709
11.1,683
11.15,635
11.2,672
11.25,586
11.3,624
11.35,571
11.4,529
11.45,541
11.5,559
11.55,566
11.6,504
11.65,531
11.7,511
11.75,503
11.8,502
11.85,480
11.9,499
11.95,491
12,478
12.05,495
12.1,496
12.15,509
12.2,507
12.25,482
12.3,515
12.35,487
12.4,499
12.45,461
12.5,449
12.55,448
12.6,457
12.65,482
12.7,473
12.75,472
12.8,508
12.85,471
12.9,453
12.95,496
13,455
13.05,481
13.1,482
13.15,478
13.2,495
13.25,478
13.3,516
13.35,441
13.4,461
13.45,464
13.5,456
13.55,473
13.6,469
13.65,454
13.7,470
13.75,497
13.8,468
13.85,453
13.9,480
13.95,431
14,444
14.05,437
14.1,497
14.15,499
14.2,434
14.25,498
14.3,443
14.35,453
14.4,490
14.45,458
14.5,486
14.55,477
14.6,495
14.65,475
14.7,483
14.75,477
14.8,463
14.85,492
14.9,462
14.95,475
15,449
15.05,482
15.1,469
15.15,473
15.2,459
15.25,460
15.3,470
15.35,454
15.4,472
15.45,474
15.5,448
15.55,463
15.6,473
15.65,482
15.7,436
15.75,468
15.8,487
15.85,506
15.9,529
15.95,542
16,563
16.05,562
16.1,604
16.15,609
16.2,580
16.25,528
16.3,572
16.35,503
16.4,531
16.45,488
16.5,486
16.55,491
16.6,493
16.65,474
16.7,520
16.75,504
16.8,538
16.85,463
16.9,514
16.95,565
17,604
17.05,606
17.1,651
17.15,635
17.2,645
17.25,591
17.3,568
17.35,560
17.4,523
17.45,544
17.5,531
17.55,537
17.6,559
17.65,534
17.7,590
17.75,546
17.8,514
17.85,521
17.9,533
17.95,556
18,518
18.05,551
18.1,545
18.15,569
18.2,549
18.25,568
18.3,572
18.35,549
18.4,580
18.45,554
18.5,583
18.55,544
18.6,570
18.65,553
18.7,567
18.75,586
18.8,555
18.85,612
18.9,581
18.95,591
19,592
19.05,608
19.1,562
19.15,588
19.2,598
19.25,582
19.3,593
19.35,594
19.4,569
19.45,596
19.5,594
19.55,586
19.6,556
19.65,605
19.7,579
19.75,566
19.8,575
19.85,571
19.9,558
19.95,610
20,584
20.05,589
20.1,576
20.15,575
20.2,556
20.25,621
20.3,617
20.35,626
20.4,592
20.45,621
20.5,619
20.55,615
20.6,585
20.65,622
20.7,612
20.75,637
20.8,620
20.85,627
20.9,643
20.95,605
21,625
21.05,601
21.1,608
21.15,620
21.2,629
21.25,643
21.3,623
21.35,635
21.4,622
21.45,657
21.5,648
21.55,645
21.6,607
21.65,616
21.7,632
21.75,625
21.8,624
21.85,600
21.9,629
21.95,628
22,650
22.05,665
22.1,657
22.15,683
22.2,671
22.25,674
22.3,691
22.35,700
22.4,728
22.45,762
22.5,755
22.55,802
22.6,831
22.65,884
22.7,934
22.75,968
22.8,1004
22.85,1034
22.9,1051
22.95,1064
23,1038
23.05,1073
23.1,1009
23.15,1029
23.2,959
23.25,970
23.3,933
23.35,953
23.4,933
23.45,947
23.5,880
23.55,888
23.6,905
23.65,915
23.7,927
23.75,886
23.8,875
23.85,895
23.9,849
23.95,869
24,867
24.05,869
24.1,862
24.15,869
24.2,889
24.25,890
24.3,896
24.35,850
24.4,879
24.45,899
24.5,876
24.55,892
24.6,921
24.65,923
24.7,893
24.75,910
24.8,863
24.85,880
24.9,856
24.95,863
25,865
25.05,816
25.1,814
25.15,827
25.2,814
25.25,808
25.3,855
25.35,846
25.4,944
25.45,983
25.5,1084
25.55,1202
25.6,1265
25.65,1355
25.7,1382
25.75,1373
25.8,1242
25.85,1159
25.9,1002
25.95,911
26,863
26.05,789
26.1,816
26.15,764
26.2,783
26.25,776
26.3,809
26.35,786
26.4,807
26.45,841
26.5,850
26.55,850
26.6,861
26.65,932
26.7,929
26.75,936
26.8,926
26.85,915
26.9,876
26.95,859
27,820
27.05,793
27.1,805
27.15,822
27.2,847
27.25,807
27.3,797
27.35,845
27.4,868
27.45,938
27.5,1039
27.55,1070
27.6,1179
27.65,1177
27.7,1277
27.75,1208
27.8,1164
27.85,1067
27.9,1030
27.95,977
28,970
28.05,888
28.1,891
28.15,902
28.2,917
28.25,906
28.3,963
28.35,976
28.4,1014
28.45,1058
28.5,1049
28.55,1041
28.6,1006
28.65,1010
28.7,969
28.75,956
28.8,883
28.85,867
28.9,838
28.95,836
29,842
29.05,833
29.1,835
29.15,854
29.2,879
29.25,886
29.3,943
29.35,937
29.4,1059
29.45,1097
29.5,1219
29.55,1321
29.6,1490
29.65,1589
29.7,1774
29.75,1810
29.8,1837
29.85,1728
29.9,1649
29.95,1468
30,1345
30.05,1251
30.1,1148
30.15,1067
30.2,1003
30.25,1000
30.3,957
30.35,889
30.4,852
30.45,853
30.5,861
30.55,836
30.6,832
30.65,843
30.7,871
30.75,867
30.8,920
30.85,901
30.9,936
30.95,946
31,957
31.05,861
31.1,892
31.15,944
31.2,975
31.25,1044
31.3,1091
31.35,1197
31.4,1181
31.45,1154
31.5,1102
31.55,1015
31.6,958
31.65,886
31.7,851
31.75,833
31.8,872
31.85,856
31.9,854
31.95,899
32,910
32.05,925
32.1,1055
32.15,1143
32.2,1270
32.25,1455
32.3,1609
32.35,1829
32.4,1937
32.45,2042
32.5,2090
32.55,1947
32.6,1996
32.65,1852
32.7,1802
32.75,1659
32.8,1473
32.85,1307
32.9,1184
32.95,1078
33,1019
33.05,951
33.1,977
33.15,940
33.2,920
33.25,959
33.3,939
33.35,926
33.4,890
33.45,824
33.5,744
33.55,761
33.6,717
33.65,737
33.7,731
33.75,715
33.8,699
33.85,701
33.9,687
33.95,699
34,708
34.05,702
34.1,667
34.15,681
34.2,663
34.25,692
34.3,679
34.35,660
34.4,714
34.45,728
34.5,767
34.55,818
34.6,871
34.65,873
34.7,857
34.75,839
34.8,809
34.85,770
34.9,735
34.95,735
35,732
35.05,718
35.1,681
35.15,671
35.2,708
35.25,739
35.3,792
35.35,798
35.4,822
35.45,818
35.5,830
35.55,843
35.6,854
35.65,821
35.7,811
35.75,814
35.8,773
35.85,814
35.9,789
35.95,763
36,763
36.05,738
36.1,743
36.15,771
36.2,738
36.25,723
36.3,739
36.35,749
36.4,748
36.45,730
36.5,804
36.55,816
36.6,804
36.65,917
36.7,1004
36.75,987
36.8,1027
36.85,1005
36.9,969
36.95,878
37,850
37.05,818
37.1,802
37.15,804
37.2,756
37.25,740
37.3,773
37.35,775
37.4,757
37.45,728
37.5,700
37.55,740
37.6,715
37.65,657
37.7,662
37.75,629
37.8,612
37.85,659
37.9,622
37.95,630
38,629
38.05,641
38.1,611
38.15,642
38.2,640
38.25,652
38.3,689
38.35,713
38.4,756
38.45,769
38.5,784
38.55,812
38.6,847
38.65,855
38.7,880
38.75,907
38.8,919
38.85,933
38.9,906
38.95,801
39,846
39.05,810
39.1,779
39.15,771
39.2,761
39.25,715
39.3,717
39.35,721
39.4,731
39.45,726
39.5,721
39.55,687
39.6,702
39.65,692
39.7,695
39.75,679
39.8,696
39.85,642
39.9,663
39.95,671
40,680
40.05,658
40.1,673
40.15,684
40.2,702
40.25,718
40.3,709
40.35,716
40.4,765
40.45,752
40.5,753
40.55,744
40.6,746
40.65,783
40.7,792
40.75,762
40.8,750
40.85,775
40.9,770
40.95,762
41,784
41.05,773
41.1,796
41.15,827
41.2,793
41.25,870
41.3,877
41.35,907
41.4,932
41.45,956
41.5,1016
41.55,1054
41.6,1116
41.65,1177
41.7,1190
41.75,1220
41.8,1183
41.85,1198
41.9,1158
41.95,1085
42,1061
42.05,954
42.1,945
42.15,886
42.2,858
42.25,848
42.3,842
42.35,815
42.4,816
42.45,785
42.5,757
42.55,771
42.6,736
42.65,766
42.7,751
42.75,750
42.8,741
42.85,787
42.9,777
42.95,766
43,759
43.05,735
43.1,768
43.15,692
43.2,681
43.25,657
43.3,712
43.35,686
43.4,678
43.45,704
43.5,659
43.55,653
43.6,679
43.65,683
43.7,669
43.75,684
43.8,679
43.85,638
43.9,646
43.95,626
44,644
44.05,640
44.1,633
44.15,653
44.2,655
44.25,648
44.3,640
44.35,651
44.4,621
44.45,638
44.5,639
44.55,618
44.6,610
44.65,590
44.7,630
44.75,620
44.8,612
44.85,615
44.9,604
44.95,638
45,638
45.05,644
45.1,648
45.15,674
45.2,690
45.25,686
45.3,723
45.35,764
45.4,713
45.45,713
45.5,687
45.55,747
45.6,762
45.65,726
45.7,696
45.75,727
45.8,713
45.85,698
45.9,684
45.95,661
46,644
46.05,645
46.1,697
46.15,664
46.2,649
46.25,637
46.3,660
46.35,630
46.4,605
46.45,632
46.5,644
46.55,613
46.6,619
46.65,630
46.7,635
46.75,580
46.8,605
46.85,630
46.9,570
46.95,607
47,605
47.05,593
47.1,619
47.15,617
47.2,602
47.25,626
47.3,627
47.35,610
47.4,630
47.45,682
47.5,648
47.55,688
47.6,686
47.65,722
47.7,719
47.75,763
47.8,768
47.85,730
47.9,810
47.95,841
48,814
48.05,821
48.1,801
48.15,760
48.2,746
48.25,777
48.3,751
48.35,717
48.4,760
48.45,725
48.5,720
48.55,723
48.6,703
48.65,676
48.7,636
48.75,646
48.8,638
48.85,637
48.9,591
48.95,659
49,669
49.05,669
49.1,624
49.15,649
49.2,628
49.25,587
49.3,614
49.35,613
49.4,622
49.45,629
49.5,675
49.55,667
49.6,694
49.65,671
49.7,698
49.75,714
49.8,686
49.85,665
49.9,722
49.95,664
50,685
50.05,679
50.1,649
50.15,697
50.2,673
50.25,645
50.3,635
50.35,648
50.4,619
50.45,664
50.5,643
50.55,650
50.6,650
50.65,659
50.7,602
50.75,648
50.8,638
50.85,639
50.9,655
50.95,640
51,691
51.05,631
51.1,626
51.15,595
51.2,579
51.25,607
51.3,616
51.35,597
51.4,589
51.45,587
51.5,630
51.55,665
51.6,666
51.65,659
51.7,652
51.75,653
51.8,649
51.85,617
51.9,624
51.95,591
52,576
